,P,U,accuracy,macro avg,weighted avg
precision,0.9934640522875817,0.9992885094272501,0.9989878542510121,0.9963762808574159,0.9989858891845008
recall,0.987012987012987,0.999644128113879,0.9989878542510121,0.993328557563433,0.9989878542510121
f1-score,0.990228013029316,0.99946628713752,0.9989878542510121,0.994847150083418,0.9989862958377009
support,154.0,2810.0,0.9989878542510121,2964.0,2964.0
