,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.12860892388451445,0.0,0.2693006357856494,0.23313090418353577,0.07958191193403277,0.08763597159346907
recall,0.0,0.0,0.12596401028277635,0.0,1.0,0.23313090418353577,0.22519280205655529,0.23313090418353577
f1-score,0.0,0.0,0.1272727272727273,0.0,0.4243291592128801,0.23313090418353577,0.11032037729712148,0.11830140797281367
support,38.0,778.0,778.0,777.0,593.0,0.23313090418353577,2964.0,2964.0
