,P,U,accuracy,macro avg,weighted avg
precision,0.0,0.9871794871794872,0.9871794871794872,0.4935897435897436,0.9745233399079554
recall,0.0,1.0,0.9871794871794872,0.5,0.9871794871794872
f1-score,0.0,0.9935483870967742,0.9871794871794872,0.4967741935483871,0.9808105872622002
support,38.0,2926.0,0.9871794871794872,2964.0,2964.0
