,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.03996524761077324,0.0,0.0,0.30615384615384617,0.5098882201203784,0.2827260458839406,0.17120146277699955,0.18224275977309717
recall,0.6865671641791045,0.0,0.0,0.2591145833333333,1.0,0.2827260458839406,0.38913634950248754,0.2827260458839406
f1-score,0.0755336617405583,0.0,0.0,0.28067700987306066,0.6753986332574031,0.2827260458839406,0.20632186097420444,0.2095587342917571
support,67.0,768.0,768.0,768.0,593.0,0.2827260458839406,2964.0,2964.0
