,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.9994984954864594,0.9994997498749375,0.9997492477432297,0.9995000007526331
recall,0.8333333333333334,1.0,0.9994997498749375,0.9166666666666667,0.9994997498749375
f1-score,0.9090909090909091,0.999749184850765,0.9994997498749375,0.954420046970837,0.9994770739680441
support,6.0,1993.0,0.9994997498749375,1999.0,1999.0
