,P,U,accuracy,macro avg,weighted avg
precision,0.06259314456035768,0.9786306149149586,0.771255060728745,0.5206118797376581,0.950506657491791
recall,0.46153846153846156,0.7810650887573964,0.771255060728745,0.6213017751479291,0.771255060728745
f1-score,0.11023622047244094,0.8687572590011614,0.771255060728745,0.4894967397368012,0.8454693323796656
support,91.0,2873.0,0.771255060728745,2964.0,2964.0
