,P,U,accuracy,macro avg,weighted avg
precision,0.03758099352051836,0.9784283513097073,0.24358974358974358,0.5080046724151128,0.9463684379707369
recall,0.8613861386138614,0.2217953195948306,0.24358974358974358,0.541590729104346,0.24358974358974358
f1-score,0.07201986754966888,0.36161731207289294,0.24358974358974358,0.2168185898112809,0.35174911305236467
support,101.0,2863.0,0.24358974358974358,2964.0,2964.0
