,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.04669887278582931,0.6,0.0,0.22318125770653513,0.05187637969094923,0.0975033738191633,0.18435130203666275,0.2203495666006648
recall,0.46774193548387094,0.004005340453938585,0.0,0.2416555407209613,0.07925801011804384,0.0975033738191633,0.15853216535536294,0.0975033738191633
f1-score,0.0849194729136164,0.007957559681697613,0.0,0.23205128205128206,0.0627084723148766,0.0975033738191633,0.07752735739229454,0.07674856989946424
support,124.0,749.0,749.0,749.0,593.0,0.0975033738191633,2964.0,2964.0
