,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.0,0.42395543175487466,0.0,0.23684210526315788,1.0,0.2601214574898785,0.3321595074036065,0.3732128354108462
recall,0.0,0.9794079794079794,0.0,0.011597938144329897,0.0016863406408094434,0.2601214574898785,0.19853845163862374,0.2601214574898785
f1-score,0.0,0.5917573872472783,0.0,0.022113022113022116,0.003367003367003367,0.2601214574898785,0.12344748254546076,0.16158968557607067
support,42.0,777.0,776.0,776.0,593.0,0.2601214574898785,2964.0,2964.0
