,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.0,0.5906148867313916,0.5378787878787878,0.4270931326434619,0.0,0.5192307692307693,0.31111736145072827,0.3878470480973148
recall,0.0,0.9878213802435724,0.4803788903924222,0.6143437077131259,0.0,0.5192307692307693,0.416508795669824,0.5192307692307693
f1-score,0.0,0.739240506329114,0.507505360972123,0.5038845726970034,0.0,0.5192307692307693,0.35012608799964806,0.4364763478942981
support,154.0,739.0,739.0,739.0,593.0,0.5192307692307693,2964.0,2964.0
