,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.6362545018007203,0.16095729704364148,0.29453441295546556,0.15944235976887236,0.19727644704171163
recall,0.0,0.0,0.0,0.6892067620286085,0.5784148397976391,0.29453441295546556,0.2535243203652495,0.29453441295546556
f1-score,0.0,0.0,0.0,0.66167290886392,0.25183553597650515,0.29453441295546556,0.18270168896808503,0.22205294863374564
support,64.0,769.0,769.0,769.0,593.0,0.29453441295546556,2964.0,2964.0
