,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.023693379790940768,0.0,0.0,0.0,0.3802910052910053,0.2054655870445344,0.08079687701638921,0.07646756017797952
recall,0.7083333333333334,0.0,0.0,0.0,0.96964586846543,0.2054655870445344,0.33559584035975265,0.2054655870445344
f1-score,0.04585300067430884,0.0,0.0,0.0,0.5463182897862233,0.2054655870445344,0.11843425809210643,0.11004308025492485
support,48.0,775.0,774.0,774.0,593.0,0.2054655870445344,2964.0,2964.0
