,P,U,accuracy,macro avg,weighted avg
precision,0.04715047150471505,0.9809523809523809,0.2125506072874494,0.5140514262285479,0.9415713962422061
recall,0.92,0.18140190207819654,0.2125506072874494,0.5507009510390983,0.2125506072874494
f1-score,0.08970358814352573,0.30618311533888226,0.2125506072874494,0.197943351741204,0.2970535806224789
support,125.0,2839.0,0.2125506072874494,2964.0,2964.0
