,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.037850625211220006,0.0,0.0,0.0,1.0,0.039473684210526314,0.207570125042244,0.20149772942768443
recall,1.0,0.0,0.0,0.0,0.008431703204047217,0.039473684210526314,0.20168634064080945,0.039473684210526314
f1-score,0.07294041028980787,0.0,0.0,0.0,0.016722408026755852,0.039473684210526314,0.017932563663312744,0.006101792817923313
support,112.0,753.0,753.0,753.0,593.0,0.039473684210526314,2964.0,2964.0
