,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.22474747474747475,0.2988505747126437,0.2552552552552553,0.2496626180836707,0.15577066094307473,0.18840310333050805
recall,0.0,0.0,0.22879177377892032,0.06692406692406692,0.8600337268128162,0.2496626180836707,0.23114991350316066,0.2496626180836707
f1-score,0.0,0.0,0.22675159235668793,0.10935856992639327,0.3936703975299113,0.2496626180836707,0.1459561119625985,0.16694699508149397
support,38.0,778.0,778.0,777.0,593.0,0.2496626180836707,2964.0,2964.0
