,P,U,accuracy,macro avg,weighted avg
precision,0.018422567645365574,0.986960065199674,0.41936572199730093,0.5026913164225199,0.9712752474255152
recall,0.6666666666666666,0.4152949245541838,0.41936572199730093,0.5409807956104252,0.41936572199730093
f1-score,0.03585434173669468,0.5846005310161718,0.41936572199730093,0.31022743637643324,0.5757139530521317
support,48.0,2916.0,0.41936572199730093,2964.0,2964.0
