,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.31868131868131866,0.4874715261958998,0.4,0.32480223359702187,0.0,0.3559379217273954,0.306191015694848,0.32036415925484935
recall,0.29,0.28269484808454426,0.15059445178335534,0.9220607661822986,0.0,0.3559379217273954,0.3290700132100396,0.3559379217273954
f1-score,0.3036649214659686,0.35785953177257523,0.218809980806142,0.4803854094975913,0.0,0.3559379217273954,0.2721439687084554,0.2802149352761007
support,100.0,757.0,757.0,757.0,593.0,0.3559379217273954,2964.0,2964.0
