,P,U,accuracy,macro avg,weighted avg
precision,0.013605442176870748,0.9848053181386515,0.3586369770580297,0.4992053801577611,0.9710433765764399
recall,0.6190476190476191,0.3548939082819986,0.3586369770580297,0.48697076366480885,0.3586369770580297
f1-score,0.026625704045058884,0.5217610062893081,0.3586369770580297,0.2741933551671835,0.5147449190105434
support,42.0,2922.0,0.3586369770580297,2964.0,2964.0
