,P,U,accuracy,macro avg,weighted avg
precision,0.025024533856722278,0.9827213822894169,0.3242240215924426,0.5038729580730695,0.9610730392243054
recall,0.7611940298507462,0.31411805315843977,0.3242240215924426,0.537656041504593,0.3242240215924426
f1-score,0.04845605700712589,0.4760659168192518,0.3242240215924426,0.26226098691318883,0.4663999719449561
support,67.0,2897.0,0.3242240215924426,2964.0,2964.0
