,P,LP,WN,LN,RN,accuracy,macro avg,weighted avg
precision,0.06556195965417867,0.05834464043419267,0.0,0.2932061978545888,0.0,0.1282051282051282,0.08342255958859203,0.09215410776923219
recall,1.0,0.056578947368421055,0.0,0.3236842105263158,0.0,0.1282051282051282,0.2760526315789474,0.1282051282051282
f1-score,0.12305611899932385,0.05744822979291917,0.0,0.3076923076923077,0.0,0.1282051282051282,0.09763933129691015,0.09740381758357318
support,91.0,760.0,760.0,760.0,593.0,0.1282051282051282,2964.0,2964.0
