,P,U,accuracy,macro avg,weighted avg
precision,0.0,0.9784075573549258,0.9784075573549258,0.4892037786774629,0.9572813482892324
recall,0.0,1.0,0.9784075573549258,0.5,0.9784075573549258
f1-score,0.0,0.9890859481582538,0.9784075573549258,0.4945429740791269,0.9677291665515979
support,64.0,2900.0,0.9784075573549258,2964.0,2964.0
