,P,U,accuracy,macro avg,weighted avg
precision,0.0,0.9480431848852902,0.9480431848852902,0.4740215924426451,0.8987858804074444
recall,0.0,1.0,0.9480431848852902,0.5,0.9480431848852902
f1-score,0.0,0.9733287149289921,0.9480431848852902,0.48666435746449604,0.9227576548415883
support,154.0,2810.0,0.9480431848852902,2964.0,2964.0
